orgname,selected_peers_concat
Columbia College,Golden Gate University-San Francisco|Regis University|Embry Riddle Aeronautical University-Daytona Beach|Saint Leo University|North Central College|Hamline University|Central Methodist University-College of Liberal Arts & Sciences|Drury University|Fontbonne University|Maryville University of Saint Louis|Missouri Baptist University|Park University|Rockhurst University|Webster University|William Woods University|Muskingum University|Wayland Baptist University|Brandman University- Part of the Chapman University System
Columbia International University,John Brown University|Covenant College|Toccoa Falls College|Trinity International University-Illinois|Wheaton College|Anderson University|Indiana Wesleyan University|Taylor University|Gordon College|Bethel University|Crown College|Grace University|Houghton College|Nyack College|St Andrews Presbyterian College|Cedarville University|Messiah College|Philadelphia Biblical University-Langhorne|Charleston Southern University|Southern Wesleyan University|Coker College|Columbia College|Converse College|Erskine College and Seminary|Furman University|Limestone College|Newberry College|Presbyterian College|Wofford College|Bryan College-Dayton|Free Will Baptist Bible College|King College|LeTourneau University|Seattle Pacific University
Columbia Southern University,Grand Canyon University|Walden University|Regis University|Ashford University|Waldorf College|Kaplan University-Davenport Campus|University of Phoenix-Online Campus|Capella University|Northcentral University|American InterContinental University-Online|American Public University System|Argosy University-Phoenix Online Division
Columbia State Community College,James H Faulkner State Community College|National Park Community College|Delaware Technical and Community College-Owens|Palm Beach State College|Middle Georgia College|Delgado Community College|Anne Arundel Community College|Southwest Mississippi Community College|Central Piedmont Community College|Rose State College|Florence-Darlington Technical College|McLennan Community College|Virginia Western Community College|Southern West Virginia Community and Technical College
Columbia-Greene Community College,Hagerstown Community College|Greenfield Community College|West Shore Community College|Minnesota State Community and Technical College|Adirondack Community College|Clinton Community College|Fulton-Montgomery Community College|North Country Community College|Sullivan County Community College|Ulster County Community College
Columbus State Community College,Belmont Technical College|Central Ohio Technical College|Cincinnati State Technical and Community College|Clark State Community College|Cuyahoga Community College District|Hocking College|Eastern Gateway Community College|Lakeland Community College|James A Rhodes State College|Lorain County Community College|Marion Technical College|Zane State College|North Central State College|Northwest State Community College|Owens Community College|Sinclair Community College|Stark State College of Technology|Southern State Community College|Terra State Community College|Washington State Community College
Columbus State University,Auburn University at Montgomery|University of North Alabama|Armstrong Atlantic State University|Northeastern Illinois University|University of Illinois at Springfield|Indiana University-South Bend|Salisbury University|Salem State University|University of Michigan-Dearborn|The University of Tennessee at Chattanooga|Lamar University|The University of Texas at Tyler
Community College of Beaver County,Columbus Technical College|Southeastern Illinois College|Iowa Lakes Community College|Jefferson Community and Technical College|Chesapeake College|Hagerstown Community College|Wor-Wic Community College|Alpena Community College|Riverland Community College|Northern New Mexico College|Adirondack Community College|Cayuga County Community College|Herkimer County Community College|Jefferson Community College|Schenectady County Community College|College of the Albemarle|South Piedmont Community College|Cleveland Community College|Gaston College|Isothermal Community College|Clark State Community College|Edison State Community College|North Central State College|Northwest State Community College|Terra State Community College|Butler County Community College|Lehigh Carbon Community College|Reading Area Community College|Cedar Valley College|Hill College|Grays Harbor College|Southern West Virginia Community and Technical College|West Virginia Northern Community College|Casper College|Carroll Community College
Community College of Denver,GateWay Community College|Phoenix College|South Mountain Community College|Cosumnes River College|Evergreen Valley College|Laney College|Los Angeles Harbor College|Los Angeles Pierce College|Los Angeles Trade Technical College|Los Angeles Valley College|Los Angeles City College|Los Angeles Mission College|Merritt College|San Diego City College|San Diego Miramar College|Community College of Aurora|Atlanta Technical College|Honolulu Community College|Kapiolani Community College|City Colleges of Chicago-Kennedy-King College|City Colleges of Chicago-Malcolm X College|City Colleges of Chicago-Olive-Harvey College|City Colleges of Chicago-Harry S Truman College|City Colleges of Chicago-Richard J Daley College|City Colleges of Chicago-Harold Washington College|City Colleges of Chicago-Wilbur Wright College|Baltimore City Community College|Bunker Hill Community College|Wayne County Community College District|Minneapolis Community and Technical College|Saint Paul College-A Community and Technical College|Metropolitan Community College-Penn Valley|Saint Louis Community College-Forest Park|Essex County College|CUNY Bronx Community College|CUNY Hostos Community College|CUNY LaGuardia Community College|CUNY Queensborough Community College|Central Piedmont Community College|Nashville State Community College|Southwest Tennessee Community College|Del Mar College|El Centro College|Mountain View College|Richland College|St Philip's College|Palo Alto College|Northwest Vista College
Community College of Philadelphia,Arcadia University|Bryn Mawr College|Cabrini College|Chestnut Hill College|Cheyney University of Pennsylvania|Drexel University|Eastern University|Gratz College|Harcum College|Haverford College|Holy Family University|Immaculata University|La Salle University|Lincoln University of Pennsylvania|Manor College|Neumann University|Pennsylvania State University-Penn State Abington|Peirce College|University of Pennsylvania|Philadelphia University|Rosemont College|Saint Joseph's University|Swarthmore College|Temple University|Widener University-Main Campus|DeVry University-Pennsylvania
Community College of Rhode Island,Delaware Technical and Community College-Owens|Delaware Technical and Community College-Terry|Delaware Technical and Community College-Stanton-Wilmington|Montgomery College|Bergen Community College|Brookdale Community College|Camden County College|Monroe Community College|Sinclair Community College|Community College of Allegheny County|Community College of Philadelphia|Tidewater Community College|The Community College of Baltimore County
Community College of Vermont,Asnuntuck Community College|Capital Community College|Housatonic Community College|Manchester Community College|Naugatuck Valley Community College|Norwalk Community College|Tunxis Community College|Danville Area Community College|Kankakee Community College|Eastern Iowa Community College District|Barton County Community College|Central Maine Community College|Eastern Maine Community College|Southern Maine Community College|Berkshire Community College|Cape Cod Community College|Greenfield Community College|Holyoke Community College|Massasoit Community College|Middlesex Community College|Mount Wachusett Community College|North Shore Community College|Northern Essex Community College|Quinsigamond Community College|Kellogg Community College|Mississippi Delta Community College|Nashua Community College|Atlantic Cape Community College|Adirondack Community College|Cayuga County Community College|Clinton Community College|Finger Lakes Community College|Jamestown Community College|Jefferson Community College|Tompkins Cortland Community College|Butler County Community College|Community College of Rhode Island|York County Community College
Concord University,Athens State University|University of Arkansas at Pine Bluff|Southern Arkansas University Main Campus|Clayton  State University|Lewis-Clark State College|Purdue University-North Central Campus|Kentucky State University|University of Maine at Farmington|Lake Superior State University|Missouri Southern State University|Missouri Western State University|Chadron State College|CUNY York College|Elizabeth City State University|Winston-Salem State University|Kent State University at Stark|Shawnee State University|Langston University|Oregon Institute of Technology|Pennsylvania State University-Penn State Erie-Behrend College|Pennsylvania State University-Penn State Altoona|University of Pittsburgh-Johnstown|Lander University|University of South Carolina-Aiken|University of South Carolina-Upstate|Black Hills State University|Dakota State University|Northern State University|University of Houston-Downtown|Fairmont State University|Shepherd University|Utah State University-Regional Campuses and Distance Education
Concorde Career College,San Joaquin Valley College-Visalia|San Joaquin Valley College-Bakersfield|Carrington College California-Sacramento|ATI College of Health|Anthem College-Maryland Heights|St Louis College of Health Careers-St Louis|Chattanooga College Medical Dental and Technical Careers|Carrington College-Portland|Carrington College California-San Leandro|San Joaquin Valley College-Fresno|Colorado School of Healing Arts|The Academy of Health Care Professions-Northwest|Pima Medical Institute-Denver|Anthem College-Denver|Medvance Institute-Cookeville|Pima Medical Institute-Chula Vista|Carrington College California-Pleasant Hill|St Louis College of Health Careers-Fenton|San Joaquin Valley College-Rancho Cucamonga|Medvance Institute-West Palm|Medvance Institute-Fort Lauderdale|Anthem College-Fenton
Concorde Career College,San Joaquin Valley College-Visalia|San Joaquin Valley College-Bakersfield|Carrington College California-Sacramento|ATI College of Health|Anthem College-Maryland Heights|St Louis College of Health Careers-St Louis|Chattanooga College Medical Dental and Technical Careers|Carrington College-Portland|Carrington College California-San Leandro|San Joaquin Valley College-Fresno|Colorado School of Healing Arts|The Academy of Health Care Professions-Northwest|Pima Medical Institute-Denver|Anthem College-Denver|Medvance Institute-Cookeville|Pima Medical Institute-Chula Vista|Carrington College California-Pleasant Hill|St Louis College of Health Careers-Fenton|San Joaquin Valley College-Rancho Cucamonga|Medvance Institute-West Palm|Medvance Institute-Fort Lauderdale|Anthem College-Fenton
Concorde Career College,San Joaquin Valley College-Visalia|San Joaquin Valley College-Bakersfield|Carrington College California-Sacramento|ATI College of Health|Anthem College-Maryland Heights|St Louis College of Health Careers-St Louis|Chattanooga College Medical Dental and Technical Careers|Carrington College-Portland|Carrington College California-San Leandro|San Joaquin Valley College-Fresno|Colorado School of Healing Arts|The Academy of Health Care Professions-Northwest|Pima Medical Institute-Denver|Anthem College-Denver|Medvance Institute-Cookeville|Pima Medical Institute-Chula Vista|Carrington College California-Pleasant Hill|St Louis College of Health Careers-Fenton|San Joaquin Valley College-Rancho Cucamonga|Medvance Institute-West Palm|Medvance Institute-Fort Lauderdale|Anthem College-Fenton
Concorde Career College,San Joaquin Valley College-Visalia|San Joaquin Valley College-Bakersfield|Carrington College California-Sacramento|ATI College of Health|Anthem College-Maryland Heights|St Louis College of Health Careers-St Louis|Chattanooga College Medical Dental and Technical Careers|Carrington College-Portland|Carrington College California-San Leandro|San Joaquin Valley College-Fresno|Colorado School of Healing Arts|The Academy of Health Care Professions-Northwest|Pima Medical Institute-Denver|Anthem College-Denver|Medvance Institute-Cookeville|Pima Medical Institute-Chula Vista|Carrington College California-Pleasant Hill|St Louis College of Health Careers-Fenton|San Joaquin Valley College-Rancho Cucamonga|Medvance Institute-West Palm|Medvance Institute-Fort Lauderdale|Anthem College-Fenton
Concorde Career College,San Joaquin Valley College-Visalia|San Joaquin Valley College-Bakersfield|Carrington College California-Sacramento|ATI College of Health|Anthem College-Maryland Heights|St Louis College of Health Careers-St Louis|Chattanooga College Medical Dental and Technical Careers|Carrington College-Portland|Carrington College California-San Leandro|San Joaquin Valley College-Fresno|Colorado School of Healing Arts|The Academy of Health Care Professions-Northwest|Pima Medical Institute-Denver|Anthem College-Denver|Medvance Institute-Cookeville|Pima Medical Institute-Chula Vista|Carrington College California-Pleasant Hill|St Louis College of Health Careers-Fenton|San Joaquin Valley College-Rancho Cucamonga|Medvance Institute-West Palm|Medvance Institute-Fort Lauderdale|Anthem College-Fenton
Concorde Career Colleges,San Joaquin Valley College-Visalia|San Joaquin Valley College-Bakersfield|Carrington College California-Sacramento|ATI College of Health|Anthem College-Maryland Heights|St Louis College of Health Careers-St Louis|Chattanooga College Medical Dental and Technical Careers|Carrington College-Portland|Carrington College California-San Leandro|San Joaquin Valley College-Fresno|Colorado School of Healing Arts|The Academy of Health Care Professions-Northwest|Pima Medical Institute-Denver|Anthem College-Denver|Medvance Institute-Cookeville|Pima Medical Institute-Chula Vista|Carrington College California-Pleasant Hill|St Louis College of Health Careers-Fenton|San Joaquin Valley College-Rancho Cucamonga|Medvance Institute-West Palm|Medvance Institute-Fort Lauderdale|Anthem College-Fenton
Concorde Career Colleges,San Joaquin Valley College-Visalia|San Joaquin Valley College-Bakersfield|Carrington College California-Sacramento|ATI College of Health|Anthem College-Maryland Heights|St Louis College of Health Careers-St Louis|Chattanooga College Medical Dental and Technical Careers|Carrington College-Portland|Carrington College California-San Leandro|San Joaquin Valley College-Fresno|Colorado School of Healing Arts|The Academy of Health Care Professions-Northwest|Pima Medical Institute-Denver|Anthem College-Denver|Medvance Institute-Cookeville|Pima Medical Institute-Chula Vista|Carrington College California-Pleasant Hill|St Louis College of Health Careers-Fenton|San Joaquin Valley College-Rancho Cucamonga|Medvance Institute-West Palm|Medvance Institute-Fort Lauderdale|Anthem College-Fenton
Concorde Career Colleges,San Joaquin Valley College-Visalia|San Joaquin Valley College-Bakersfield|Carrington College California-Sacramento|ATI College of Health|Anthem College-Maryland Heights|St Louis College of Health Careers-St Louis|Chattanooga College Medical Dental and Technical Careers|Carrington College-Portland|Carrington College California-San Leandro|San Joaquin Valley College-Fresno|Colorado School of Healing Arts|The Academy of Health Care Professions-Northwest|Pima Medical Institute-Denver|Anthem College-Denver|Medvance Institute-Cookeville|Pima Medical Institute-Chula Vista|Carrington College California-Pleasant Hill|St Louis College of Health Careers-Fenton|San Joaquin Valley College-Rancho Cucamonga|Medvance Institute-West Palm|Medvance Institute-Fort Lauderdale|Anthem College-Fenton
Concorde Career Institute,San Joaquin Valley College-Visalia|San Joaquin Valley College-Bakersfield|Carrington College California-Sacramento|ATI College of Health|Anthem College-Maryland Heights|St Louis College of Health Careers-St Louis|Chattanooga College Medical Dental and Technical Careers|Carrington College-Portland|Carrington College California-San Leandro|San Joaquin Valley College-Fresno|Colorado School of Healing Arts|The Academy of Health Care Professions-Northwest|Pima Medical Institute-Denver|Anthem College-Denver|Medvance Institute-Cookeville|Pima Medical Institute-Chula Vista|Carrington College California-Pleasant Hill|St Louis College of Health Careers-Fenton|San Joaquin Valley College-Rancho Cucamonga|Medvance Institute-West Palm|Medvance Institute-Fort Lauderdale|Anthem College-Fenton
Concordia College at Moorhead,Augustana College|Millikin University|Luther College|Calvin College|Gustavus Adolphus College|College of Saint Benedict|Saint Johns University|St Olaf College|Elon University|University of Mount Union|Otterbein University|Wittenberg University|Susquehanna University|Augustana College|Roanoke College|Pacific Lutheran University|Saint Norbert College
Concordia University,Concordia College-Selma|Azusa Pacific University|Biola University|Dominican University of California|Fresno Pacific University|Point Loma Nazarene University|Simpson University|Vanguard University of Southern California|Westmont College|Concordia University-Chicago|Wheaton College|Calvin College|Concordia University-Ann Arbor|Concordia University-Saint Paul|Concordia University-Seward|Concordia College-New York|Concordia University-Portland|Concordia University-Texas|Concordia University-Wisconsin
Concordia University,Concordia University-Chicago|Northwestern College|Concordia University-Saint Paul|Doane College-Crete|Hastings College|Nebraska Wesleyan University|Concordia University-Wisconsin
Concordia University,Concordia University-Irvine|Northwest Nazarene University|George Fox University|Lewis & Clark College|Linfield College|University of Portland|Willamette University|Pacific Lutheran University|University of Puget Sound|Saint Martin's University|Seattle Pacific University|Whitworth University
Concordia University-Saint Paul,Augsburg College|Bethany Lutheran College|Bethel University|Carleton College|Concordia College at Moorhead|Gustavus Adolphus College|Hamline University|Macalester College|College of Saint Benedict|Saint Johns University|Saint Mary's University of Minnesota|St Olaf College|The College of Saint Scholastica|University of St Thomas|St Catherine University
Concordia University-Wisconsin,Santa Clara University|Regis University|Augustana College|Bradley University|Elmhurst College|Greenville College|Illinois Wesleyan University|Lewis University|North Central College|Olivet Nazarene University|Rockford College|Saint Xavier University|Trinity International University-Illinois|Indiana Wesleyan University|Valparaiso University|Buena Vista University|Drake University|Upper Iowa University|Wartburg College|Davenport University|Hope College|Marygrove College|Spring Arbor University|Gustavus Adolphus College|Hamline University|St Olaf College|Lindenwood University|Xavier University
Connecticut College,Colorado College|Trinity College|Wesleyan University|Centre College|Bates College|Bowdoin College|Colby College|Mount Holyoke College|Smith College|Wheaton College|Williams College|Kalamazoo College|Carleton College|Macalester College|Colgate University|Hamilton College|Hobart William Smith Colleges|Skidmore College|Union College|Vassar College|Kenyon College|Oberlin College|Lewis & Clark College|Dickinson College|Franklin and Marshall College|Gettysburg College|Lafayette College|Middlebury College|Whitman College
Connors State College,Lamar Community College|Colby Community College|Fort Scott Community College|Crowder College|Three Rivers Community College|Carl Albert State College|Eastern Oklahoma State College|Northern Oklahoma College|Northeastern Oklahoma A&M College|Seminole State College
Converse College,Birmingham Southern College|Spring Hill College|Agnes Scott College|Brenau University|Centre College|Elon University|Meredith College|Peace College|Salem College|Columbia College|Furman University|Presbyterian College|Wofford College|Sewanee-The University of the South|Hollins University|Mary Baldwin College|Sweet Briar College
Cornell University,Yale University|University of Chicago|Harvard University|Massachusetts Institute of Technology|Dartmouth College|Princeton University|Columbia University in the City of New York|University of Pennsylvania|Brown University|Stanford University
Corning Community College,Manchester Community College|Frederick Community College|Holyoke Community College|Massasoit Community College|Broome Community College|Dutchess Community College|Finger Lakes Community College|Genesee Community College|Jamestown Community College|Mohawk Valley Community College-Utica Branch|Niagara County Community College|Onondaga Community College|Orange County Community College|Rockland Community College|Central Oregon Community College
Cottey College,Birmingham Southern College|Hendrix College|Agnes Scott College|Andrew College|Knox College|Coe College|Waldorf College|Goucher College|Clark University|Pine Manor College|Hope College|Kalamazoo College|Millsaps College|Stephens College|Westminster College|William Jewell College|Wells College|Guilford College|Salem College|The College of Wooster|Allegheny College|Juniata College|Ursinus College|Marlboro College|Lynchburg College|Randolph College|Lawrence University
Covenant College,Samford University|John Brown University|The Master's College and Seminary|Westmont College|Berry College|Trinity Christian College|Wheaton College|Taylor University|Dordt College|Gordon College|Calvin College|Hope College|Cedarville University|George Fox University|Geneva College|Grove City College|Messiah College|Carson-Newman College|Union University
Cowley County Community College,Allen County Community College|Barton County Community College|Butler Community College|Cloud County Community College|Coffeyville Community College|Colby Community College|Dodge City Community College|Friends University|Fort Scott Community College|Garden City Community College|Highland Community College|Hutchinson Community College|Independence Community College|Johnson County Community College|Kansas City Kansas Community College|Newman University|Labette Community College|Neosho County Community College|Pratt Community College|Seward County Community College and Area Technical School|Southwestern College|Wichita Area Technical College|Wichita State University
Coyne College,The College of Office Technology|Le Cordon Bleu College of Culinary Arts-Chicago|Lincoln College of Technology-Melrose Park|Harrison College-Indianapolis|Brown Mackie College-Merrillville|Lincoln College of Technology-Indianapolis|Kaplan College-Indianapolis|Bradford School|Kaplan College-Columbus|Miami-Jacobs Career College-Dayton|Brown Mackie College-North Canton|Ohio Technical College|Kaplan College-Dayton|Fortis College-Centeville|Brown Mackie College-Cincinnati|Brown Mackie College-Akron|Lincoln College of Technology|Lincoln College of Technology|Southwestern College|ITT Technical Institute-Troy|Bryant and Stratton College-Eastlake|Brown Mackie College-Findlay|Sanford-Brown College-Collinsville|Brown Mackie College-Fort Wayne|ITT Technical Institute-Canton|Sanford-Brown College-West Allis
Craven Community College,South Florida Community College|John Wood Community College|Eastern Maine Community College|Hagerstown Community College|Cape Cod Community College|Montcalm Community College|South Central College|Crowder College|Cumberland County College|Jamestown Community College|Cleveland Community College|Coastal Carolina Community College|Mitchell Community College|Alvin Community College|Piedmont Virginia Community College|Whatcom Community College|Blackhawk Technical College|Athens Technical College|Owensboro Community and Technical College|Coconino County Community College
Creighton University,Loyola Marymount University|Santa Clara University|Loyola University-Chicago|Valparaiso University|Drake University|Saint Louis University-Main Campus|John Carroll University|Xavier University|University of Portland|Gonzaga University|Marquette University
Crouse Hospital School of Nursing,Adirondack Community College|Phillips Beth Israel School of Nursing|Broome Community College|Cochran School of Nursing|Ellis School of Nursing|Helene Fuld College of Nursing|Jefferson Community College|Long Island College Hospital of Brooklyn School of Nursing|Memorial Hospital School of Nursing|Dorothea Hopfer School of Nursing-Mt Vernon Hospital|Onondaga Community College|St Joseph's College of Nursing at St Joseph's Hospital Health Center|Samaritan Hospital School of Nursing|Saint Elizabeth College of Nursing
Crowder College,East Central College|Ozarks Technical Community College|Jefferson College|Linn State Technical College|Mineral Area College|Missouri State University-West Plains|State Fair Community College|Three Rivers Community College|North Central Missouri College|NorthWest Arkansas Community College
Crown College,John Brown University|Biola University|Taylor University|Northwestern College|Cedarville University
Culver-Stockton College,Augustana College|Illinois College|Knox College|MacMurray College|McKendree University|Millikin University|Monmouth College|Quincy University|Central College|Cornell College|Graceland University-Lamoni|Luther College|Simpson College|Baker University|Benedictine College|MidAmerica Nazarene University|Avila University|Central Methodist University-College of Liberal Arts & Sciences|Drury University|Evangel University|Lindenwood University|Missouri Valley College|Westminster College|William Jewell College
Cumberland University,Birmingham Southern College|Hendrix College|Eckerd College|Oglethorpe University|Centre College|University of the Cumberlands|Georgetown College|Lindsey Wilson College|Transylvania University|Millsaps College|Davidson College|Greensboro College|Guilford College|Saint Augustines College|Salem College|Furman University|Presbyterian College|Wofford College|Belmont University|Bethel University|Lipscomb University|Rhodes College|Sewanee-The University of the South|Union University|Bridgewater College|Eastern Mennonite University|Hampden-Sydney College|Hollins University|Randolph-Macon College|Roanoke College|Virginia Union University|Virginia Wesleyan College|Washington and Lee University|West Virginia Wesleyan College
CUNY Bernard M Baruch College,University of Delaware|University of Maryland-Baltimore County|University of Maryland-College Park|Towson University|New Jersey City University|Montclair State University|The College of New Jersey|Drexel University|Pennsylvania State University-Main Campus|University of Pittsburgh-Johnstown|Temple University
CUNY College of Staten Island,University of Alaska Anchorage|University of Colorado at Colorado Springs|Indiana University-Purdue University-Fort Wayne|Indiana University-Purdue University-Indianapolis|Salisbury University|Towson University|University of Massachusetts-Boston|Montclair State University|Pace University-New York|University of North Carolina at Wilmington|Portland State University|Shippensburg University of Pennsylvania|West Chester University of Pennsylvania|The University of Texas at Arlington|Western Washington University
CUNY John Jay College of Criminal Justice,University of South Alabama|University of Central Arkansas|California State Polytechnic University-Pomona|California State University-East Bay|California State University-Los Angeles|University of North Florida|Kennesaw State University|Valdosta State University|Boise State University|Wayne State University|University of Missouri-Kansas City|Missouri State University-Springfield|University of Nebraska at Omaha|Kean University|University of Akron Main Campus|Cleveland State University|Youngstown State University|University of Central Oklahoma|East Tennessee State University|University of Memphis|Middle Tennessee State University|Lamar University|The University of Texas-Pan American|Eastern Washington University|Marshall University
CUNY New York City College of Technology,University of Maine at Augusta|Ramapo College of New Jersey|The Richard Stockton College of New Jersey|CUNY John Jay College of Criminal Justice|CUNY Medgar Evers College|CUNY York College|Fashion Institute of Technology|SUNY College of Technology at Alfred|SUNY College of Technology at Delhi|SUNY College of Agriculture and Technology at Cobleskill|Farmingdale State College|Kent State University at Ashtabula|Kent State University at Trumbull|Kent State University at Geauga|Pennsylvania State University-Penn State Shenango|Pennsylvania State University-Penn State Dubois|Pennsylvania State University-Penn State Fayette- Eberly Campus|Pennsylvania State University-Penn State York|Pennsylvania College of Technology
CUNY Queens College,California State University-Dominguez Hills|San Diego State University|University of Colorado Denver|University of Illinois at Chicago|Indiana University-Purdue University-Indianapolis|University of Massachusetts-Boston|Montclair State University|Rutgers University-Newark|CUNY Brooklyn College|CUNY College of Staten Island|CUNY City College|CUNY Hunter College|CUNY Lehman College|SUNY College at Buffalo|SUNY College at Cortland|SUNY at Fredonia|SUNY at Geneseo|State University of New York at New Paltz|SUNY College at Oneonta|SUNY College at Potsdam|University of North Carolina at Charlotte|North Carolina Central University|University of North Carolina at Wilmington|University of Cincinnati-Main Campus|University of Cincinnati-Clermont College|University of Cincinnati-Raymond Walters College|Cleveland State University|University of Houston|George Mason University|San Diego State University-Imperial Valley Campus
CUNY Queensborough Community College,Montgomery College|Bergen Community College|Camden County College|Essex County College|Middlesex County College|CUNY Borough of Manhattan Community College|CUNY Kingsborough Community College|Monroe Community College|Onondaga Community College|SUNY Westchester Community College|Community College of Philadelphia|Suffolk County Community College|The Community College of Baltimore County
Curry College,Husson University|Saint Joseph's College of Maine|Hood College|College of Notre Dame of Maryland|Stevenson University|American International College|Assumption College|Clark University|Emerson College|Emmanuel College|Endicott College|Gordon College|Merrimack College|Simmons College|Stonehill College|Western New England University|Wheaton College|Saint Anselm College|Centenary College|Fairleigh Dickinson University-College at Florham|Georgian Court University|Saint Peter's College|Alfred University|D'Youville College|Daemen College|Le Moyne College|Manhattan College|Manhattanville College|Medaille College|Mount Saint Mary College|Nazareth College|Nyack College|Saint Bonaventure University|St. Francis College|Saint John Fisher College|Utica College|DeSales University|Alvernia University|Arcadia University|Cabrini College|Gwynedd Mercy College|Holy Family University|King's College|Marywood University|Messiah College|Misericordia University|Neumann University|Philadelphia University|Point Park University|Waynesburg University|Bryant University|Roger Williams University|Salve Regina University|Champlain College|Norwich University
Cypress College,Antelope Valley College|College of the Canyons|Cerritos College|Chaffey College|Citrus College|East Los Angeles College|El Camino Community College District|Fullerton College|Glendale Community College|Golden West College|Grossmont College|Long Beach City College|Los Angeles Pierce College|Los Angeles Trade Technical College|Los Angeles Valley College|Los Angeles City College|MiraCosta College|Mt. San Antonio College|Orange Coast College|Palomar College|Pasadena City College|Santa Ana College|Rio Hondo College|Riverside City College|Saddleback College|San Diego City College|San Diego Mesa College|Santa Monica College|San Bernardino Valley College|Southwestern College|Santiago Canyon College
Dakota College at Bottineau,Rich Mountain Community College|South Arkansas Community College|Feather River Community College District|Lamar Community College|Quinebaug Valley Community College|Garrett College|Pine Technical College|Rainy River Community College|Miles Community College|New Mexico State University-Grants|Mesalands Community College|Martin Community College|Pamlico Community College|Lake Region State College|Williston State College|Clatsop Community College|Frank Phillips College
Dakota State University,Georgia Southwestern State University|Northwest Missouri State University|Wayne State College|New Mexico Institute of Mining and Technology|SUNY Institute of Technology at Utica-Rome|Northwestern Oklahoma State University|University of Science and Arts of Oklahoma|Black Hills State University|University of Wisconsin-Stout
Dalton State College,University of Arkansas-Fort Smith|Mesa State College|Indiana University-Kokomo|Missouri Southern State University|CUNY Medgar Evers College|Farmingdale State College|Pennsylvania State University-Penn State Altoona|Coastal Carolina University|Dixie State College of Utah|West Virginia University at Parkersburg
Danville Area Community College,George C Wallace State Community College-Dothan|George C Wallace State Community College-Selma|Columbia College|Mendocino College|Colorado Mountain College|Northeastern Junior College|Delaware Technical and Community College-Terry|Carl Sandburg College|Highland Community College|Illinois Eastern Community Colleges-Olney Central College|John Wood Community College|Kankakee Community College|Kaskaskia College|Kishwaukee College|Rend Lake College|Sauk Valley Community College|Shawnee Community College|Southeastern Illinois College|Spoon River College|Barton County Community College|Mississippi Delta Community College|San Juan College|Santa Fe Community College|Rogue Community College|Vernon College|Community College of Vermont|Centralia College|Peninsula College|Moraine Park Technical College|Illinois Eastern Community Colleges-Frontier Community Coll|Illinois Eastern Community Colleges-Lincoln Trail College|Illinois Eastern Community Colleges-Wabash Valley College
Dartmouth College,Yale University|Georgetown University|University of Chicago|Northwestern University|Johns Hopkins University|Amherst College|Harvard University|Williams College|Princeton University|Columbia University in the City of New York|Cornell University|University of Rochester|Duke University|University of Pennsylvania|Brown University|Stanford University
Davenport University,Wilmington University|Saint Leo University|Columbia College-Chicago|National-Louis University|Columbia College|Lindenwood University|Park University|Bellevue University|New York Institute of Technology|Cardinal Stritch University
Davidson College,Claremont McKenna College|Wesleyan University|Grinnell College|Bates College|Bowdoin College|Williams College|Carleton College|Colgate University|Hamilton College|Vassar College|Oberlin College|Haverford College|Swarthmore College|Furman University|Rhodes College|Sewanee-The University of the South|Middlebury College|Washington and Lee University
Davidson County Community College,Central Carolina Community College|Forsyth Technical Community College|Guilford Technical Community College|Mitchell Community College|Randolph Community College|Rockingham Community College|Rowan-Cabarrus Community College|Sandhills Community College|Surry Community College|Alamance Community College
Dean College,Mitchell College|American International College|Anna Maria College|Assumption College|Atlantic Union College|Bay Path College|Becker College|Curry College|Emmanuel College|Endicott College|Fisher College|Lasell College|Lesley University|Marian Court College|Merrimack College|Mount Ida College|Newbury College-Brookline|Nichols College|Massachusetts College of Liberal Arts|College of Our Lady of the Elms|Pine Manor College|Suffolk University|Western New England University|Franklin Pierce University|New England College|Southern New Hampshire University|Bryant University|Roger Williams University|Salve Regina University
Dekalb Technical College,Asnuntuck Community College|Tunxis Community College|Albany Technical College|Atlanta Technical College|Augusta Technical College|Gwinnett Technical College|Savannah Technical College|Ivy Tech Community College-South Central|Gateway Community and Technical College|Nunez Community College|Anoka Technical College|Salem Community College|Community College of Beaver County|Davis Applied Technology College|Athens Technical College|Sussex County Community College|Georgia Military College-Augusta Campus|River Parishes Community College|Pierce College at Puyallup|Cascadia Community College
Del Mar College,Glendale Community College|Phoenix College|College of the Desert|Hartnell College|Imperial Valley College|Reedley College|Los Angeles Mission College|Merced College|College of the Sequoias|San Bernardino Valley College|Taft College|Ventura College|Victor Valley College|Pueblo Community College|Valencia Community College|City Colleges of Chicago-Richard J Daley College|Elgin Community College|Morton College|Passaic County Community College|Union County College|Central New Mexico Community College|New Mexico State University-Dona Ana|CUNY Bronx Community College|CUNY LaGuardia Community College|Amarillo College|Austin Community College District|Blinn College|Brookhaven College|Central Texas College|Eastfield College|El Centro College|El Paso Community College|Houston Community College|Laredo Community College|Lee College|Mountain View College|Lone Star College System|North Lake College|Richland College|St Philip's College|San Antonio College|San Jacinto Community College|South Plains College|Tarrant County College District|Tyler Junior College|Wharton County Junior College|Palo Alto College|South Texas College|Northwest Vista College
